JobID|JobName|State|Elapsed|AllocTRES|ExitCode
60293234_2|dopfn-bb-rc|FAILED|00:00:06|billing=8000,cpu=8,mem=32G,node=1|1:0
60293234_3|dopfn-bb-rc|COMPLETED|00:02:16|billing=8000,cpu=8,mem=32G,node=1|0:0
60293234_4|dopfn-bb-rc|COMPLETED|00:00:17|billing=8000,cpu=8,mem=32G,node=1|0:0
60293988_0|dopfn-native-rc|FAILED|00:00:11|billing=8000,cpu=8,mem=32G,node=1|1:0
60293988_1|dopfn-native-rc|FAILED|00:00:11|billing=8000,cpu=8,mem=32G,node=1|1:0
60293988_2|dopfn-native-rc|FAILED|00:00:11|billing=8000,cpu=8,mem=32G,node=1|1:0
60293988_3|dopfn-native-rc|FAILED|00:00:10|billing=8000,cpu=8,mem=32G,node=1|1:0
60293988_4|dopfn-native-rc|FAILED|00:00:11|billing=8000,cpu=8,mem=32G,node=1|1:0
60293989_0|cpfn1d-rc+cs|COMPLETED|00:00:22|billing=8000,cpu=8,mem=32G,node=1|0:0
60293989_1|cpfn1d-rc+cs|COMPLETED|00:00:27|billing=8000,cpu=8,mem=32G,node=1|0:0
60293989_2|cpfn1d-rc+cs|COMPLETED|00:23:57|billing=8000,cpu=8,mem=32G,node=1|0:0
60293989_3|cpfn1d-rc+cs|COMPLETED|00:01:16|billing=8000,cpu=8,mem=32G,node=1|0:0
60293989_4|cpfn1d-rc+cs|COMPLETED|00:00:22|billing=8000,cpu=8,mem=32G,node=1|0:0
60294100_2|dopfn-bb-rc|COMPLETED|00:53:12|billing=8000,cpu=8,mem=32G,node=1|0:0
60294477_0|dopfn-native-rc|FAILED|00:00:06|billing=8000,cpu=8,mem=32G,node=1|1:0
60294477_1|dopfn-native-rc|FAILED|00:00:07|billing=8000,cpu=8,mem=32G,node=1|1:0
60294477_2|dopfn-native-rc|FAILED|00:00:12|billing=8000,cpu=8,mem=32G,node=1|1:0
60294477_3|dopfn-native-rc|FAILED|00:00:12|billing=8000,cpu=8,mem=32G,node=1|1:0
60294477_4|dopfn-native-rc|FAILED|00:00:12|billing=8000,cpu=8,mem=32G,node=1|1:0
60295274_0|dopfn-native-rc|COMPLETED|00:00:32|billing=8000,cpu=8,mem=32G,node=1|0:0
60295274_1|dopfn-native-rc|COMPLETED|00:01:28|billing=8000,cpu=8,mem=32G,node=1|0:0
60295274_2|dopfn-native-rc|COMPLETED|01:43:39|billing=8000,cpu=8,mem=32G,node=1|0:0
60295274_3|dopfn-native-rc|FAILED|00:00:08|billing=8000,cpu=8,mem=32G,node=1|1:0
60295274_4|dopfn-native-rc|FAILED|00:00:07|billing=8000,cpu=8,mem=32G,node=1|1:0
60295778_3|dopfn-native-rc|FAILED|00:00:06|billing=8000,cpu=8,mem=32G,node=1|1:0
60295778_4|dopfn-native-rc|COMPLETED|00:03:53|billing=8000,cpu=8,mem=32G,node=1|0:0
60296791_3|wrap|CANCELLED by 3143987|00:01:05|billing=8000,cpu=8,mem=32G,node=1|0:0
60296884_3|dopfn-native-rc|COMPLETED|00:03:49|billing=8000,cpu=8,mem=32G,node=1|0:0
60628524_0|dopfn-bb-rc|COMPLETED|00:01:11|billing=8000,cpu=8,mem=32G,node=1|0:0
60628525_0|dopfn-bb-rc|COMPLETED|00:01:16|billing=8000,cpu=8,mem=32G,node=1|0:0
